,content,score
0,首先颜值特别好，855性能绝对能比过A10！拍照我很喜欢，像素很好。对小米的系统一直都是情有独钟，小爱同学真的不错，可以和Siri媲美了！快充真的很快，一个小时就可以充满。无线充电、NFC、红外这些功能更是加分项。总之非常赞,5
1,颜值高，外观漂亮，特别是幻彩色美啊;性能好，骁龙855确实强?用起来非常流畅，个人感觉小米9是目前为止用过的最流畅的小米手机;拍照强，拍照强大，清晰，超广角很喜欢，还有超级夜景，也很满意;屏幕好，屏幕虽然是水滴屏，但是感觉很顺眼，比刘海屏好多了，息屏显示也很漂亮;手感好，拿在手里手感很棒;AI按键非常好用，可以根据需要设置不同的功能，很实用;充电快，27W快充，一个小时充满，还支持20W无线快充，很方便;性价比高，价格亲民，配置高，良心产品。缺点方面:电池稍微小点，但续航也还可以，中度用户基本可以使用一天。,5
2,⑨用了一周了，很不错的哟。摄像功能强大是米⑨的优势。超广角，可以拍微距。拍花朵的时候，背景自动是模糊的。对焦特别快。4800万像素的，不能变焦。后边摄像头凸出来了，贴了钢化膜。处理器很好，手机很快。没有耳机孔需要用转换插头。另外充电很快，有线的一个小时充满。但是耗电很快，出门一天必须必须要带充电宝。满电大概用到中午，就只有百分之三十了。,5
3,从下单到送达，不到12个小时，这是真的快！优点：小米9手机真的太好看了，太帅了，背部看起来很高大上，最上面的那个相机在灯下五彩缤斑斓，很酷，正面水滴屏也还可以。手机一整个背部是曲面的，手感很好。智能手机功能越来越强大了，特别是有个AI键（跟电源键长的一样的），可以很快捷进行很多操作，小爱同学太棒了，对生活很方便，MIUI还是一如既往的好看好用！不足的地方是：感觉电量没有想象中那么耐用（注：只是没想象中那么好），可能是系统或者软件，偶尔会卡住，~有时会闪退一下，这不是骁龙855该有的样子，期待优化。配套的手机套，保护不了镜头啊，镜头太突出来了。,5
4,给媳妇儿买的，媳妇儿原来用的HUAWEI NOVA 3e，说实话我看着都卡，自己MI8用了一年多，一点卡的迹象都木有，因此给媳妇儿也买了一部，屏下指纹很好用，拍照也很不错，媳妇儿用的很开心！！！唯一差评的地方是背面的镜面材质，指纹收集器~,5
5,买的紫色的，真的超漂亮， 很久之前就想买了，但是看到官方的图片瞬间不想买了，那么，官方把照片拍的那么丑是不想让我们买吗？???    女生首选紫色哦！    超好看。   指纹解锁也很快，速度流畅，开任何应用没有等待的时间，真好！???     想买的宝宝们下手吧！反正很漂亮就对了。???,5
6,小米9是目前性价比最高的旗舰机了吧，基本上啥游戏软件都能跑满分，性能没话说，价格依旧亲民，雷布斯是真的诚意满满。说一下外观，一开始我是因为他的一句广告文案&ldquo;战斗天使，好看又能打&rdquo;种草的，那时候适逢阿丽塔上映，本人又特别喜欢这部电影，拿到手之后第一眼感觉是真的很精致很漂亮，没事会把手机壳拿掉放手里把玩，这种工艺的外壳和厚薄程度真是加分项。唯一的缺点可能就是电池续航了吧，已经连续4代小米的电池容量没有突破了，也许也是当下硬件的瓶颈，希望将来能有所突破吧。从初代小米1S青春版到小米9，已经买过3台小米，真心希望小米越走越远，一直支持！,5
7,小米9使用半个多月了，总结一下感受：1、颜值高，外观漂亮，特别是幻彩色美啊，不过我就喜欢套黑色的科；2、性能好，骁龙855确实比我的小米6强，用起来非常流畅，个人感觉小米9是目前为止用过的最流畅的小米手机；3、拍照强，拍照强大，清晰，超广角很喜欢，还有超级夜景，也很满意；4、屏幕好，屏幕虽然是水滴屏，但是感觉很顺眼，比刘海屏好多了，息屏显示也很漂亮；5、手感好，拿在手里手感很棒；6、AI按键非常好用，可以根据需要设置不同的功能，很实用，但我往口袋里放手机的时候经常会碰一下ai键，不知道是不是我拿手机的姿势不对；7、充电快，27W快充，一个小时充满，还支持20W无线快充，很方便；8、性价比高，价格亲民，配置高，良心产品。缺点：1、电池稍微小点，但续航也还可以，中度用户基本可以使用一天；2、屏幕指纹速度稍微有点慢，不如第六代快，感觉也不如我的小米6；3、相机不支持光学防抖；4、后盖太容易沾染指纹，影响美观。,5
8,看了好多天的安卓机，对比了华为 oppo，还是选择了小米9，安卓的性能机皇。用了很久了，感觉不错，效果很好。就是小爱同学、还有指纹解锁需要改进。,5
9,26号抢购的，1号今天到的，总得来说还是挺不错的，暂时没发现什么瑕疵，反应速度灵敏，不愧是855，7i也很漂亮，总得来说！真香！,5
10,用了快一个月了，手感很好，很轻，mix2S拿久了再来拿米酒感觉真的不一样。性能很好，拍照很强大，超广角很#。缺点嘛电池不太耐用，还好有送充电宝。,5
11,没有着急评价，用了一周，说说体验，外观主流水滴?屏，后面三摄天使眼造型，很漂亮，后背炫彩壳指纹收集器，建议带套，屏幕素质很好，照相清晰可见，Dox评分也不是盖的，miui系统方便快捷，骁龙855cpu真是能打，快如闪电呀！手感一流，20w无线充电很快。很强大的一款手机。,5
